person_id,nom,prénom,département,orcid,lien_orcid
1840,BUSSEROLLES,JEROME,IUT Génie Bio 63,0000-0001-7542-9520,https://orcid.org/0000-0001-7542-9520
2345,CABAGNOLS,ALEXANDRE,Polytech,0000-0003-4891-6344,https://orcid.org/0000-0003-4891-6344
2106,CADET,REMI,UFR Biologie,0000-0002-9359-9758,https://orcid.org/0000-0002-9359-9758
2887,CAMPAGNA,FRANCESCO,UFR Math,0000-0001-6249-1915,https://orcid.org/0000-0001-6249-1915
1804,CANIS,MICHEL,UFR Médecine Pr Paramédic,0000-0003-0852-7811,https://orcid.org/0000-0003-0852-7811
1862,CASSAGNES,LUCIE,UFR Médecine Pr Paramédic,0000-0002-6863-5542,https://orcid.org/0000-0002-6863-5542
2684,CHABROLLES,HELENE,UFR Médecine Pr Paramédic,0000-0001-8038-2130,https://orcid.org/0000-0001-8038-2130
2048,CHAPUIS,ROLAND,Polytech Génie Electrique,0000-0003-3799-4910,https://orcid.org/0000-0003-3799-4910
2092,CHECCHIN,PAUL,IUT GIM 63,0000-0002-2930-3393,https://orcid.org/0000-0002-2930-3393
2512,CHEVALIER,BASTIEN,Polytech Génie Civil,0000-0002-5641-681X,https://orcid.org/0000-0002-5641-681X
1668,CHEZAL,JEAN MICHEL,UFR Pharmacie,0000-0001-7162-8450,https://orcid.org/0000-0001-7162-8450
1887,CHIAMBARETTA,FREDERIC,UFR Médecine Pr Paramédic,0000-0002-8657-4245,https://orcid.org/0000-0002-8657-4245
2485,CISNETTI,FEDERICO,UFR Chimie,0000-0002-9446-4601,https://orcid.org/0000-0002-9446-4601
2784,CLAES,NELE,UFR PSSSE,0000-0002-1815-0985,https://orcid.org/0000-0002-1815-0985
2315,CLAIR,DAVID,EUPI,0000-0002-5890-7292,https://orcid.org/0000-0002-5890-7292
,,,,,
2940,POUGET,MANON,LMV,0000-0002-3972-0262,https://orcid.org/0000-0002-3972-0262
